Panel File	Panel Type (PCR/Capture) 	All Exons v. Hotspot Regions 	# of Genes 			
(all files are prepended as: data_gene_panel_XXX) 						
					Center	Number of Genes
DFCI-ONCOPANEL-1.txt 	Custom 	All Exons 	275		Vanderbilt-Ingram Cancer Center (VICC)	322
						429
DFCI-ONCOPANEL-2.txt 	Custom 	All Exons 	300		Memorial Sloan Kettering Cancer Center (MSK)	341
						410
					Dana-Farber Cancer Institute (DFCI) 	275
MSK-IMPACT341.txt 	Custom 	All Exons 	341			300
					"Institut Gustave Roussy, France (GRCC) "	50
MSK-IMPACT410.txt 	Custom 	All Exons 	410			74
					Johns Hopkins University (JHU) 	50
					Princess Margaret Cancer Center (UHN)	48
					"Centre for Personalized Cancer Treatment, The Netherlands (NKI)"	48
GRCC-CHP2.txt 	Ion AmpliSeq Cancer Hotspot Panel v2 	Hotspot Regions 	50		University of Texas MD Anderson Cancer Center (MDA)	46
						
GRCC-MOSC3.txt 	Ion AmpliSeq Cancer Hotspot Panel v2 	Hotspot Regions 	74			
						
JHU-50GP-V1.txt 	Ion AmpliSeq Cancer Hotspot Panel v2 	Hotspot Regions 	50			
						
MDA-46-V1.txt 	"Custom, based on Ion AmpliSeq Cancer Hotspot Panel v1 "	Hotspot Regions 	46			
						
NKI-TSACP.txt 	TruSeq Amplicon Cancer Panel 	Hotspot Regions 	48			
						
UHN-48-V1.txt 	TruSeq Amplicon Cancer Panel 	Hotspot Regions 	48			
						
VICC-01-T5a.txt 	Foundation Medicine 	All Exons 	322			
						
VICC-01-T7.txt 	Foundation Medicine 	All Exons 	429			
						
